ids	gene	polysaccharide	class	type
An02g13580	GH18	non	nonPectin	nonPectin
An09g05920	GH18	non	nonPectin	nonPectin
An08g09030	GH18	non	nonPectin	nonPectin
An09g06400	GH18	non	nonPectin	nonPectin
An02g07020	GH18	non	nonPectin	nonPectin
An03g05290	GH17	non	nonPectin	nonPectin
An06g01530	GH17	non	nonPectin	nonPectin
An16g07040	GH17	non	nonPectin	nonPectin
An08g03580	GH17	non	nonPectin	nonPectin
An14g05490	GH16	non	nonPectin	nonPectin
An15g05350	GH17	non	nonPectin	nonPectin
An16g02850	GH18	non	nonPectin	nonPectin
An01g11010	GH19	non	nonPectin	nonPectin
An01g04560	GH20	non	nonPectin	nonPectin
An13g02510	GH21	non	nonPectin	nonPectin
An02g00850	GH22	non	nonPectin	nonPectin
An11g01540	GH23	non	nonPectin	nonPectin
An12g02450	GH13	non	nonPectin	nonPectin
An02g03260	GH13	non	nonPectin	nonPectin
An09g03070	GH13	non	nonPectin	nonPectin
An04g09890	GH13	non	nonPectin	nonPectin
An15g07810	GH13	non	nonPectin	nonPectin
An05g02100	GH13	non	nonPectin	nonPectin
An02g11560	AA3	non	nonPectin	nonPectin
An11g05580	AA3	non	nonPectin	nonPectin
An15g04820	AA3	non	nonPectin	nonPectin
An05g02380	AA3	non	nonPectin	nonPectin
An12g03440	AA3	non	nonPectin	nonPectin
An18g00530	AA3	non	nonPectin	nonPectin
An18g01120	AA3	non	nonPectin	nonPectin
An15g03100	AA3	non	nonPectin	nonPectin
An07g00450	AA3	non	nonPectin	nonPectin
An03g00130	AA3	non	nonPectin	nonPectin
An01g14740	AA3	non	nonPectin	nonPectin
An02g09270	AA3	non	nonPectin	nonPectin
An12g10770	AA3	non	nonPectin	nonPectin
An16g05660	AA3	non	nonPectin	nonPectin
An18g02690	AA1	non	nonPectin	nonPectin
An11g03580	AA1	non	nonPectin	nonPectin
An05g02340	AA1	non	nonPectin	nonPectin
An16g02020	AA1	non	nonPectin	nonPectin
An08g08450	AA1	non	nonPectin	nonPectin
An14g05370	AA1	non	nonPectin	nonPectin
An01g08960	AA1	non	nonPectin	nonPectin
An15g05520	AA1	non	nonPectin	nonPectin
An04g10400	AA1	non	nonPectin	nonPectin
An01g13660	AA1	non	nonPectin	nonPectin
An01g14010	AA1	non	nonPectin	nonPectin
An05g02540	AA1	non	nonPectin	nonPectin
An03g03750	AA1	non	nonPectin	nonPectin
An04g08830	transporter	transporter	nonPectin	nonPectin
An02g08230	transporter	transporter	nonPectin	nonPectin
An07g00230	transporter	transporter	nonPectin	nonPectin
An07g07390	transporter	transporter	nonPectin	nonPectin
An14g03290	transporter	transporter	nonPectin	nonPectin
An14g02740	transporter	transporter	nonPectin	nonPectin
An13g02590	transporter	transporter	nonPectin	nonPectin
An11g05000	transporter	transporter	nonPectin	nonPectin
An11g06900	transporter	transporter	nonPectin	nonPectin
An06g01200	transporter	transporter	nonPectin	nonPectin
An01g04690	transporter	transporter	nonPectin	nonPectin
An16g02000	transporter	transporter	nonPectin	nonPectin
An14g01350	transporter	transporter	nonPectin	nonPectin
An02g13250	transporter	transporter	nonPectin	nonPectin
An13g02180	transporter	transporter	nonPectin	nonPectin
An02g03220	transporter	transporter	nonPectin	nonPectin
An02g12160	transporter	transporter	nonPectin	nonPectin
An18g03800	transporter	transporter	nonPectin	nonPectin
An16g08830	transporter	transporter	nonPectin	nonPectin
An16g01600	transporter	transporter	nonPectin	nonPectin
An18g00440	transporter	transporter	nonPectin	nonPectin
An08g07360	transporter	transporter	nonPectin	nonPectin
An14g04080	transporter	transporter	nonPectin	nonPectin
An02g10170	transporter	transporter	nonPectin	nonPectin
An02g04250	transporter	transporter	nonPectin	nonPectin
An01g03200	transporter	transporter	nonPectin	nonPectin
An04g05640	transporter	transporter	nonPectin	nonPectin
An12g04190	transporter	transporter	nonPectin	nonPectin
An02g07850	transporter	transporter	nonPectin	nonPectin
An16g07410	transporter	transporter	nonPectin	nonPectin
An16g00460	transporter	transporter	nonPectin	nonPectin
An01g04110	transporter	transporter	nonPectin	nonPectin
An14g04710	transporter	transporter	nonPectin	nonPectin
An06g02030	transporter	transporter	nonPectin	nonPectin
An15g00190	transporter	transporter	nonPectin	nonPectin
An02g04120	transporter	transporter	nonPectin	nonPectin
An14g03990	transporter	transporter	nonPectin	nonPectin
An04g01440	transporter	transporter	nonPectin	nonPectin
An05g02470	transporter	transporter	nonPectin	nonPectin
An01g11710	transporter	transporter	nonPectin	nonPectin
An16g01150	transporter	transporter	nonPectin	nonPectin
An02g09810	transporter	transporter	nonPectin	nonPectin
An02g07210	transporter	transporter	nonPectin	nonPectin
An08g08980	transporter	transporter	nonPectin	nonPectin
An11g00220	transporter	transporter	nonPectin	nonPectin
An02g08330	transporter	transporter	nonPectin	nonPectin
An02g00530	transporter	transporter	nonPectin	nonPectin
An14g06860	transporter	transporter	nonPectin	nonPectin
An16g06580	transporter	transporter	nonPectin	nonPectin
An16g07150	transporter	transporter	nonPectin	nonPectin
An08g08560	transporter	transporter	nonPectin	nonPectin
An14g00900	transporter	transporter	nonPectin	nonPectin
An18g04260	transporter	transporter	nonPectin	nonPectin
An08g01800	transporter	transporter	nonPectin	nonPectin
An18g01320	transporter	transporter	nonPectin	nonPectin
An02g14930	transporter	transporter	nonPectin	nonPectin
An08g01720	transporter	transporter	nonPectin	nonPectin
An15g00330	transporter	transporter	nonPectin	nonPectin
An02g06550	transporter	transporter	nonPectin	nonPectin
An07g09170	transporter	transporter	nonPectin	nonPectin
An15g01950	transporter	transporter	nonPectin	nonPectin
An18g01700	transporter	transporter	nonPectin	nonPectin
An02g00280	transporter	transporter	nonPectin	nonPectin
An16g07610	transporter	transporter	nonPectin	nonPectin
An02g12930	transporter	transporter	nonPectin	nonPectin
An10g00800	transporter	transporter	nonPectin	nonPectin
An11g03290	transporter	transporter	nonPectin	nonPectin
An02g03330	transporter	transporter	nonPectin	nonPectin
An18g00040	transporter	transporter	nonPectin	nonPectin
An05g00730	transporter	transporter	nonPectin	nonPectin
An03g05000	transporter	transporter	nonPectin	nonPectin
An16g01420	transporter	transporter	nonPectin	nonPectin
An02g01870	transporter	transporter	nonPectin	nonPectin
An04g00170	transporter	transporter	nonPectin	nonPectin
An07g06300	transporter	transporter	nonPectin	nonPectin
An04g06160	transporter	transporter	nonPectin	nonPectin
An02g11260	transporter	transporter	nonPectin	nonPectin
An15g05510	transporter	transporter	nonPectin	nonPectin
An07g07020	transporter	transporter	nonPectin	nonPectin
An03g04860	transporter	transporter	nonPectin	nonPectin
An11g04180	transporter	transporter	nonPectin	nonPectin
An15g06280	peptidase	peptidase	nonPectin	nonPectin
An12g03300	peptidase	peptidase	nonPectin	nonPectin
An11g09240	peptidase	peptidase	nonPectin	nonPectin
An11g09170	peptidase	peptidase	nonPectin	nonPectin
An07g00950	peptidase	peptidase	nonPectin	nonPectin
An13g02130	peptidase	peptidase	nonPectin	nonPectin
An11g00310	peptidase	peptidase	nonPectin	nonPectin
An03g01660	peptidase	peptidase	nonPectin	nonPectin
An11g01110	peptidase	peptidase	nonPectin	nonPectin
An03g01010	peptidase	peptidase	nonPectin	nonPectin
An01g01750	peptidase	peptidase	nonPectin	nonPectin
An07g00320	peptidase	peptidase	nonPectin	nonPectin
An01g00530	peptidase	peptidase	nonPectin	nonPectin
An15g07700	peptidase	peptidase	nonPectin	nonPectin
An14g03250	peptidase	peptidase	nonPectin	nonPectin
An04g02880	peptidase	peptidase	nonPectin	nonPectin
An01g13530	peptidase	peptidase	nonPectin	nonPectin
An04g01880	peptidase	peptidase	nonPectin	nonPectin
An06g01920	peptidase	peptidase	nonPectin	nonPectin
An01g07910	peptidase	peptidase	nonPectin	nonPectin
An14g02150	peptidase	peptidase	nonPectin	nonPectin
An02g04690	peptidase	peptidase	nonPectin	nonPectin
An07g03880	peptidase	peptidase	nonPectin	nonPectin
An01g02070	peptidase	peptidase	nonPectin	nonPectin
An13g01300	peptidase	peptidase	nonPectin	nonPectin
An16g02250	peptidase	peptidase	nonPectin	nonPectin
An08g04640	peptidase	peptidase	nonPectin	nonPectin
An14g02470	peptidase	peptidase	nonPectin	nonPectin
An12g04170	peptidase	peptidase	nonPectin	nonPectin
An01g11740	peptidase	peptidase	nonPectin	nonPectin
An18g06210	peptidase	peptidase	nonPectin	nonPectin
An02g13740	peptidase	peptidase	nonPectin	nonPectin
An17g00390	peptidase	peptidase	nonPectin	nonPectin
An09g00680	peptidase	peptidase	nonPectin	nonPectin
An14g00620	peptidase	peptidase	nonPectin	nonPectin
An07g08030	peptidase	peptidase	nonPectin	nonPectin
An05g02170	peptidase	peptidase	nonPectin	nonPectin
An07g10410	peptidase	peptidase	nonPectin	nonPectin
An04g09710	peptidase	peptidase	nonPectin	nonPectin
An06g00350	peptidase	peptidase	nonPectin	nonPectin
An09g03780	peptidase	peptidase	nonPectin	nonPectin
An06g00310	peptidase	peptidase	nonPectin	nonPectin
An17g00760	peptidase	peptidase	nonPectin	nonPectin
An03g05200	peptidase	peptidase	nonPectin	nonPectin
An08g00430	peptidase	peptidase	nonPectin	nonPectin
An06g02470	peptidase	peptidase	nonPectin	nonPectin
An07g00110	peptidase	peptidase	nonPectin	nonPectin
An08g04490	peptidase	peptidase	nonPectin	nonPectin
An14g01120	peptidase	peptidase	nonPectin	nonPectin
An12g05960	peptidase	peptidase	nonPectin	nonPectin
An06g00190	peptidase	peptidase	nonPectin	nonPectin
An09g03760	peptidase	peptidase	nonPectin	nonPectin
An11g08070	peptidase	peptidase	nonPectin	nonPectin
An13g03000	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An13g02060	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An01g05900	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An03g06720	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An10g00660	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g05910	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An07g06480	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An09g00560	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An09g01850	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g05940	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g03540	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An10g00150	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g00180	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g02230	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An01g11880	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g03430	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An01g14990	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An01g06910	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An12g05360	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An02g13270	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g09230	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An12g08630	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An06g00630	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An09g01340	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An12g01320	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g05710	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An18g01480	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g05320	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g06420	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g04570	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An04g08440	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An18g02680	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An16g08060	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An14g03110	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An10g00110	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An14g01110	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g02920	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An03g06460	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An18g00260	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An13g01350	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An07g02570	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An14g03870	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An15g05110	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An09g01410	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An01g03250	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g07010	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An02g10700	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g01340	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An02g10940	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An12g01150	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An09g01270	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g00270	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An15g03990	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An06g02700	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An11g01550	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An12g07120	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An02g00150	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An02g10840	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
An08g06250	Cytochrome_P450	Cytochrome_P450	nonPectin	nonPectin
